Date,Species,Trap,Latitude,Longitude,NumMosquitos,WnvPresent,Tmax_2wks,Tmin_2wks,Tavg_2wks,Depart_2wks,DewPoint_2wks,WetBulb_2wks,PrecipTotal_2wks,Tmax_3dys,Tmin_3dys,Tavg_3dys,Depart_3dys,DewPoint_3dys,WetBulb_3dys,PrecipTotal_3dys,Week,Altitude (m),Zone Type
2007-05-29,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,1,0,76.10714285714286,52.75,64.67857142857143,2.9285714285714284,45.357142857142854,54.357142857142854,0.06928571428571428,79.0,58.0,68.71428571428571,5.714285714285714,50.92857142857143,58.857142857142854,0.1107142857142857,22,194.1,Business
2007-05-29,CULEX RESTUANS,T002,41.95469,-87.800991,1,0,76.10714285714286,52.75,64.67857142857143,2.9285714285714284,45.357142857142854,54.357142857142854,0.06928571428571428,79.0,58.0,68.71428571428571,5.714285714285714,50.92857142857143,58.857142857142854,0.1107142857142857,22,194.1,Business
2007-06-05,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,3,0,78.5,60.035714285714285,69.53571428571429,5.571428571428571,54.67857142857143,60.82142857142857,0.15214285714285714,78.0,62.07142857142857,70.35714285714286,5.428571428571429,58.42857142857143,62.785714285714285,0.19357142857142853,23,194.1,Business
2007-06-05,CULEX RESTUANS,T002,41.95469,-87.800991,5,0,78.5,60.035714285714285,69.53571428571429,5.571428571428571,54.67857142857143,60.82142857142857,0.15214285714285714,78.0,62.07142857142857,70.35714285714286,5.428571428571429,58.42857142857143,62.785714285714285,0.19357142857142853,23,194.1,Business
2007-06-05,CULEX PIPIENS,T002,41.95469,-87.800991,1,0,78.5,60.035714285714285,69.53571428571429,5.571428571428571,54.67857142857143,60.82142857142857,0.15214285714285714,78.0,62.07142857142857,70.35714285714286,5.428571428571429,58.42857142857143,62.785714285714285,0.19357142857142853,23,194.1,Business
2007-06-26,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,1,0,84.25,65.57142857142857,75.14285714285714,5.0,58.32142857142857,64.89285714285714,0.09249999999999999,80.14285714285714,64.21428571428571,72.42857142857143,1.5714285714285714,58.285714285714285,64.0,0.04285714285714285,26,194.1,Business
2007-06-26,CULEX RESTUANS,T002,41.95469,-87.800991,4,0,84.25,65.57142857142857,75.14285714285714,5.0,58.32142857142857,64.89285714285714,0.09249999999999999,80.14285714285714,64.21428571428571,72.42857142857143,1.5714285714285714,58.285714285714285,64.0,0.04285714285714285,26,194.1,Business
2007-06-26,CULEX SALINARIUS,T002,41.95469,-87.800991,1,0,84.25,65.57142857142857,75.14285714285714,5.0,58.32142857142857,64.89285714285714,0.09249999999999999,80.14285714285714,64.21428571428571,72.42857142857143,1.5714285714285714,58.285714285714285,64.0,0.04285714285714285,26,194.1,Business
2007-06-29,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,2,0,82.0,64.96428571428571,73.67857142857143,3.0714285714285716,59.535714285714285,65.03571428571429,0.11035714285714283,79.5,64.21428571428571,72.0,1.0,62.42857142857143,65.78571428571429,0.0757142857142857,26,194.1,Business
2007-07-02,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,3,0,79.07142857142857,62.142857142857146,70.85714285714286,-0.5,56.607142857142854,62.642857142857146,0.0932142857142857,79.57142857142857,61.0,70.5,-1.5714285714285714,56.92857142857143,62.57142857142857,0.04785714285714284,27,194.1,Business
